 9.02, 5.38, 4.39, 3.01, 0.00, 0.00
 8.79, 5.19, 4.36, 2.87, 0.00, 0.00
 9.71, 5.18, 5.99, 3.51, 0.00, 0.00
 9.22, 4.68, 6.12, 3.23, 0.00, 0.00
11.45, 6.49, 6.40, 4.54, 0.00, 0.00
10.13, 6.36, 4.38, 3.65, 0.00, 0.00
 9.71, 5.96, 4.45, 3.41, 0.00, 0.00
 9.81, 6.44, 3.67, 3.42, 0.00, 0.00
 8.91, 6.07, 2.84, 2.84, 0.00, 0.00
 9.81, 5.72, 5.08, 3.51, 0.00, 0.00
10.49, 6.68, 4.38, 3.86, 0.00, 0.00
10.45, 6.80, 4.07, 3.82, 0.00, 0.00
 9.53, 5.24, 5.55, 3.38, 0.00, 0.00
 9.78, 5.59, 5.30, 3.51, 0.00, 0.00
10.36, 6.85, 3.82, 3.75, 0.00, 0.00
11.44, 7.55, 4.31, 4.40, 0.00, 0.00
10.67, 7.34, 3.38, 3.90, 0.00, 0.00
 9.59, 5.74, 4.67, 3.36, 0.00, 0.00
 9.79, 5.95, 4.60, 3.47, 0.00, 0.00
10.74, 6.81, 4.55, 4.01, 0.00, 0.00
 9.36, 4.57, 6.57, 3.34, 0.00, 0.00
 9.75, 6.36, 3.72, 3.39, 0.00, 0.00
10.16, 5.93, 5.28, 3.73, 0.00, 0.00
 9.44, 4.98, 5.92, 3.35, 0.00, 0.00
10.57, 5.77, 6.32, 4.03, 0.00, 0.00
10.32, 5.96, 5.49, 3.83, 0.00, 0.00
 8.42, 4.44, 5.21, 2.71, 0.00, 0.00
 9.75, 6.02, 4.40, 3.43, 0.00, 0.00
 9.79, 5.52, 5.46, 3.52, 0.00, 0.00
10.37, 6.58, 4.37, 3.79, 0.00, 0.00
10.11, 6.72, 3.65, 3.59, 0.00, 0.00
 9.87, 6.25, 4.15, 3.48, 0.00, 0.00
10.65, 6.44, 5.11, 3.99, 0.00, 0.00
10.30, 6.28, 4.83, 3.78, 0.00, 0.00
11.14, 6.43, 5.99, 4.34, 0.00, 0.00
 8.83, 5.27, 4.27, 2.89, 0.00, 0.00
10.06, 6.56, 3.86, 3.57, 0.00, 0.00
 9.87, 5.95, 4.74, 3.52, 0.00, 0.00
10.42, 6.21, 5.17, 3.87, 0.00, 0.00
10.29, 6.07, 5.24, 3.80, 0.00, 0.00
 9.14, 5.73, 3.90, 3.04, 0.00, 0.00
 9.02, 5.35, 4.45, 3.01, 0.00, 0.00
 9.75, 5.44, 5.53, 3.50, 0.00, 0.00
10.40, 5.86, 5.84, 3.90, 0.00, 0.00
 9.67, 5.86, 4.57, 3.40, 0.00, 0.00
10.91, 6.03, 6.36, 4.22, 0.00, 0.00
10.97, 7.24, 4.10, 4.12, 0.00, 0.00
 8.00, 4.92, 3.53, 2.36, 0.00, 0.00
 9.99, 5.88, 5.09, 3.61, 0.00, 0.00
 8.82, 4.42, 5.94, 2.99, 0.00, 0.00
11.76, 6.32, 7.26, 4.77, 0.00, 0.00
12.16, 5.98, 8.63, 5.09, 0.00, 0.00
11.66, 5.54, 8.64, 4.80, 0.00, 0.00
10.88, 5.24, 7.86, 4.30, 0.00, 0.00
10.99, 4.74, 9.05, 4.44, 0.00, 0.00
10.97, 5.68, 7.17, 4.31, 0.00, 0.00
10.49, 4.81, 8.05, 4.09, 0.00, 0.00
 9.77, 4.65, 7.12, 3.62, 0.00, 0.00
12.17, 6.42, 7.79, 5.05, 0.00, 0.00
11.21, 5.97, 7.02, 4.44, 0.00, 0.00
 9.06, 4.51, 6.17, 3.15, 0.00, 0.00
12.13, 6.07, 8.39, 5.06, 0.00, 0.00
12.78, 6.62, 8.46, 5.44, 0.00, 0.00
10.04, 3.99, 8.88, 3.88, 0.00, 0.00
12.06, 6.56, 7.32, 4.95, 0.00, 0.00
11.58, 5.69, 8.19, 4.73, 0.00, 0.00
11.50, 6.43, 6.60, 4.58, 0.00, 0.00
10.67, 5.27, 7.45, 4.16, 0.00, 0.00
11.29, 5.21, 8.65, 4.59, 0.00, 0.00
10.81, 5.23, 7.78, 4.26, 0.00, 0.00
10.45, 4.76, 8.07, 4.07, 0.00, 0.00
11.20, 5.41, 8.10, 4.50, 0.00, 0.00
11.73, 5.32, 9.19, 4.88, 0.00, 0.00
10.76, 5.30, 7.55, 4.22, 0.00, 0.00
10.45, 5.68, 6.28, 3.95, 0.00, 0.00
12.18, 7.01, 6.64, 4.98, 0.00, 0.00
11.20, 5.39, 8.13, 4.50, 0.00, 0.00
12.53, 6.37, 8.49, 5.30, 0.00, 0.00
