 4.37, 1.84, 0.00, 0.00
 4.35, 2.06, 0.00, 0.00
 5.69, 0.61, 0.00, 0.00
 5.09, 0.08, 0.00, 0.00
 7.87, 1.32, 0.00, 0.00
 5.54, 2.45, 0.00, 0.00
 5.21, 2.28, 0.00, 0.00
 5.06, 3.11, 0.00, 0.00
 4.08, 3.84, 0.00, 0.00
 5.91, 2.07, 0.00, 0.00
 6.28, 3.04, 0.00, 0.00
 6.05, 3.27, 0.00, 0.00
 5.49, 1.14, 0.00, 0.00
 5.69, 1.53, 0.00, 0.00
 5.55, 3.10, 0.00, 0.00
 7.55, 3.93, 0.00, 0.00
 6.52, 4.59, 0.00, 0.00
 5.36, 2.19, 0.00, 0.00
 5.79, 2.65, 0.00, 0.00
 6.54, 2.94, 0.00, 0.00
 6.22, 0.60, 0.00, 0.00
 5.03, 3.09, 0.00, 0.00
 5.93, 1.61, 0.00, 0.00
 5.66, 0.85, 0.00, 0.00
 7.06, 1.08, 0.00, 0.00
 6.50, 1.81, 0.00, 0.00
 3.86, 0.53, 0.00, 0.00
 5.66, 2.79, 0.00, 0.00
 5.97, 1.64, 0.00, 0.00
 6.10, 2.91, 0.00, 0.00
 5.70, 3.68, 0.00, 0.00
 5.23, 2.64, 0.00, 0.00
 7.03, 2.77, 0.00, 0.00
 6.26, 2.48, 0.00, 0.00
 7.17, 1.33, 0.00, 0.00
 4.38, 2.19, 0.00, 0.00
 5.75, 3.46, 0.00, 0.00
 5.41, 1.98, 0.00, 0.00
 6.30, 1.99, 0.00, 0.00
 6.27, 1.95, 0.00, 0.00
 4.42, 2.56, 0.00, 0.00
 4.57, 1.97, 0.00, 0.00
 5.63, 1.20, 0.00, 0.00
 6.68, 1.49, 0.00, 0.00
 5.76, 2.72, 0.00, 0.00
 7.47, 1.29, 0.00, 0.00
 6.18, 3.03, 0.00, 0.00
 2.77, 2.00, 0.00, 0.00
 5.45, 1.46, 0.00, 0.00
 5.07, 0.60, 0.00, 0.00
 9.32, 1.49, 0.00, 0.00
 9.92,-0.03, 0.00, 0.00
 9.11,-0.62, 0.00, 0.00
 7.48,-0.83, 0.00, 0.00
 8.33,-1.62, 0.00, 0.00
 7.37,-0.03, 0.00, 0.00
 7.75,-0.56, 0.00, 0.00
 6.31,-0.35, 0.00, 0.00
 9.31, 0.46, 0.00, 0.00
 8.00, 0.71, 0.00, 0.00
 5.04, 0.05, 0.00, 0.00
 9.12,-0.59, 0.00, 0.00
 9.96,-0.20, 0.00, 0.00
 7.19,-2.05, 0.00, 0.00
 9.11, 0.99, 0.00, 0.00
 8.79,-0.32, 0.00, 0.00
 8.34, 1.52, 0.00, 0.00
 7.35,-0.23, 0.00, 0.00
